EBS
SNCF Intercités
SNCF Perigueux
SNCF TER Normandie
Stadler
Stadler Aarhus
Stadler ADY
Stadler ADY KISS
Stadler AeroExpress
Stadler FGC
Stadler FNM
Stadler Merseytravel
Stadler Transitio Mälab
Stadler Transitio UL
Stadler Wales and Borders
Stadler ZwenZwoka
Stagecoach Oxford Tube
Stagecoach UK Bus
Stagecoach-Megabus
StarSky Robotics
Start Unterelbe 
Stena Line
Stock
Sun Diego (AAAH)
Sunshine Scenic Tours
Supply Chain
Supply Chain DBIC1 SIM-script
Supply Chain Flixbus RMA
Sure-IOM
Susquehanna Coach
Swarthout
Swebus
SWR 15x
SWR 442
SWR 444
SWR 450
SWR 458
SWR 484
SWR 701
SWR 707
Systrans
T&V
Tallink
Taranaki Regional Council
Tasmanian Redline Coaches
Tekniska
TER Dakar
Testbustomer
TfGM
TFL
Thalys
The Canada Bus
TPE
Trafikverket
TrainOSE
Transdev UK Bus
Transdev-aireline
Transdev-blackburn
Transdev-burnley
Transdev-central
Transdev-costline
Transdev-dalesway
Transdev-hotline
Transdev-mainline
Transdev-rosso464
Transdev-rossoirwel
Transdev-the36
Transdev-theshuttle
Transdev-valleyline
Transdevplc
Transport for Wales
Transwa
Travelcorp
Trenitalia
Trenitalia ETR-1000
Trenitalia ETR-500
Trenitalia ETR-700
Trenitalia FrecciArgento
Trenitalia FrecciaRossa
Trenitalia Regionale
Trenitalia Spain
Trentbarton
University of Tasmania
UR Group
US Engineering
US Lab
US Others
Vanhool
Vasttrafik
VIA Rail Canada
Viking Line
VL Demo
Volvo ElectriCity
Volvo Prevost
Vonlane
VR-Group
VSOE
VTA
Vy Bergen Line 
Wales and Borders - CAF
Waxholmsbolaget
WeDriveU
West Coast Motors
West Midlands Metro
West Midlands Trains - LNR
West Midlands Trains - WMR
Windstar
Workshop
Xelabus
Yellow Buses
ÖBB
